tract_id,ward,partial,blocks,housing,housing_percent,pop,pop_percent
17031242400,1,1,28,980,0.596,1613,0.584
17031242400,2,1,19,663,0.404,1151,0.416
17031242500,1,1,13,499,0.295,1049,0.305
17031242500,26,1,25,1194,0.705,2389,0.695
17031242600,1,1,12,641,0.23,1436,0.246
17031242600,26,1,43,2143,0.77,4395,0.754
17031242700,26,1,20,820,1,2029,1
17031242700,27,1,2,0,0,0,0
17031242800,26,1,35,693,0.959,1397,0.973
17031242800,27,1,12,30,0.041,39,0.027
17031242900,1,1,9,326,0.354,546,0.327
17031242900,26,1,27,578,0.628,1102,0.66
17031242900,27,1,10,17,0.018,22,0.013
17031243000,1,1,8,386,0.348,767,0.348
17031243000,26,1,18,714,0.644,1419,0.644
17031243000,27,1,5,9,0.008,18,0.008
17031243100,1,1,25,975,0.966,2163,0.965
17031243100,27,1,8,34,0.034,79,0.035
17031243200,1,1,32,1042,0.981,2135,0.984
17031243200,27,1,9,20,0.019,35,0.016
17031243300,1,1,26,773,0.608,1507,0.632
17031243300,27,1,16,499,0.392,879,0.368
17031243400,1,1,26,940,0.628,1848,0.616
17031243400,27,1,37,558,0.372,1153,0.384
17031243500,27,0,93,1744,1,2937,1
17031250200,37,0,42,923,1,2669,1
17031250300,29,1,1,0,0,0,0
17031250300,37,1,71,1861,1,4725,1
17031250400,29,1,93,2225,1,5887,1
17031250400,37,1,2,0,0,0,0
17031250500,29,1,174,2843,0.979,7419,0.984
17031250500,36,1,3,61,0.021,119,0.016
17031250600,29,0,76,1454,1,4422,1
17031250700,37,0,83,2338,1,6098,1
17031250800,37,0,39,900,1,2488,1
17031251000,37,0,36,418,1,1181,1
17031251100,37,0,54,1812,1,4302,1
17031251200,37,0,76,1340,1,4196,1
17031251300,29,0,70,1938,1,4921,1
17031251400,29,0,72,1781,1,3983,1
17031251500,37,0,70,1685,1,4784,1
17031251600,28,1,2,25,0.018,45,0.012
17031251600,37,1,46,1390,0.982,3604,0.988
17031251700,28,1,35,257,0.5,746,0.499
17031251700,37,1,17,257,0.5,749,0.501
17031251800,28,0,86,2095,1,5112,1
17031251900,28,1,30,853,0.367,2409,0.42
17031251900,29,1,14,803,0.345,1691,0.295
17031251900,37,1,30,671,0.288,1631,0.285
17031252000,29,0,68,2643,1,5719,1
17031252101,29,0,30,716,1,1370,1
17031252102,29,0,56,2384,1,6438,1
17031252201,28,1,20,770,0.7,2126,0.72
17031252201,29,1,8,330,0.3,827,0.28
17031252202,24,1,9,188,0.099,436,0.095
17031252202,28,1,43,1227,0.645,3054,0.663
17031252202,29,1,10,487,0.256,1119,0.243
17031260100,28,1,15,811,0.885,981,0.786
17031260100,37,1,7,105,0.115,267,0.214
17031260200,28,0,29,553,1,1136,1
17031260300,28,0,31,728,1,1564,1
17031260400,28,0,41,565,1,1271,1
17031260500,28,0,45,801,1,1934,1
17031260600,24,1,3,0,0,0,0
17031260600,28,1,32,1009,1,2478,1
17031260700,24,1,6,0,0,0,0
17031260700,28,1,31,823,1,2032,1
17031260800,24,1,4,0,0,0,0
17031260800,28,1,37,1091,1,2539,1
17031260900,24,0,25,625,1,1480,1
17031261000,24,0,74,993,1,2319,1
17031270500,24,1,29,516,0.707,1227,0.726
17031270500,28,1,20,214,0.293,462,0.274
17031271200,28,0,46,495,1,1170,1
17031271300,24,1,4,0,0,0,0
17031271300,28,1,30,437,1,1045,1
17031271400,24,1,3,0,0,0,0
17031271400,28,1,31,650,1,1527,1
17031271500,24,0,17,576,1,1397,1
17031271800,28,0,24,381,1,970,1
17031280100,27,1,7,70,0.02,117,0.024
17031280100,42,1,64,3404,0.98,4755,0.976
17031280400,27,0,44,569,1,1366,1
17031280800,27,0,22,328,1,755,1
17031280900,27,0,8,385,1,942,1
17031281900,27,1,12,177,0.048,191,0.039
17031281900,42,1,38,3536,0.952,4653,0.961
17031282700,28,0,50,1021,1,2349,1
17031282800,28,0,21,779,1,1691,1
17031283100,28,0,17,1389,1,2703,1
17031283200,28,0,20,717,1,1664,1
17031283800,11,1,8,995,0.578,1911,0.518
17031283800,25,1,9,727,0.422,1777,0.482
17031290900,24,0,94,1831,1,4530,1
17031291200,24,0,34,968,1,2240,1
17031291600,24,1,18,385,1,1055,1
17031291600,28,1,2,0,0,0,0
17031292200,24,0,48,1225,1,2961,1
17031292400,24,0,50,962,1,2268,1
17031292500,24,0,79,1610,1,4140,1
17031300500,22,0,33,1003,1,3257,1
17031300600,22,0,37,953,1,3212,1
17031300700,22,0,40,1543,1,5194,1
17031300800,12,1,29,1141,0.809,3676,0.797
17031300800,22,1,12,269,0.191,934,0.203
17031300900,12,0,39,1537,1,5050,1
17031301100,12,1,19,872,0.94,2545,0.972
17031301100,24,1,6,56,0.06,72,0.028
17031301200,12,1,28,948,0.676,2777,0.692
17031301200,24,1,13,455,0.324,1235,0.308
17031301200,28,1,1,0,0,0,0
